駐輪場,ちゅうりんじょう,外,80,-156,1,自転車を停めるところです
駐車場,ちゅうしゃじょう,外,72,-156,1,車を停めるところです
生徒用玄関,せいとようげんかん,1F,65,-119,1,
来客用玄関,らいきゃくようげんかん,1F,61.5,-119,1,
機械棟1階入口,きかいとういっかいいりぐち きかいとう1かいいりぐち,1F 機械棟,74.6,-135.5,1,
機械加工実習室①,きかいかこうじっしゅうしつ 1,1F 機械棟,81,-135,1,旋盤などで部品の加工を行うことができます
機械加工実習室②,きかいかこうじっしゅうしつ 2,1F 機械棟,79,-135,1,旋盤などで部品の加工を行うことができます
倉庫(機械棟) 1F,そうこ (きかい) 1F,1F 機械棟,77.5,-139,1,倉庫です
溶接実習室,ようせつじっしゅうしつ,1F 機械棟,76.5,-132,1,溶接を行うときに使用します
原動機実習室,げんどうきじっしゅうしつ,1F 機械棟,76,-140,1,原動機の実習でつかいます
電気棟1階入口,でんきとういっかいいりぐち　きかいとう1かいいりぐち,1F 電気棟,74.6,-112.5,1,
電力応用実習室,でんりょくおうようじっしゅうしつ,1F 電気棟,81,-116,1,落雷の実習を行う部屋です
機械工作実習室,きかいこうさくじっしゅうしつ,1F 電気棟,81,-108,1,木材や金属の加工を行う部屋です
電力実習室,でんりょくじっしゅうしつ,1F 電気棟,80,-116,1,変圧機実習を行う部屋です
材料倉庫,ざいりょうそうこ,1F 電気棟,79.5,-108,1,実習で使う材料の保管場所です
鋳造実習室,ちゅうぞうじっしゅうしつ,1F 電気棟,79,-116,1,鋳造の実習で使用します
電気工事実習室(電気棟),でんきこうじじっしゅうしつ(でんき),1F 電気棟,78,-108,1,電気工事の組立配線実習を行う部屋です
NC加工実習室②,えぬしー かこうじっしゅうしつ 2,1F 電気棟,77.5,-116,1,コンピュータによる精密加工ができる機械がある部屋です
NC加工実習室①,えぬしー かこうじっしゅうしつ 1,1F 電気棟,75.5,-116,1,コンピュータによる精密加工ができる機械がある部屋です
NC加工室,えぬしー かこうしつ,1F 電気棟,76.5,-116,1,加工に必要な図面を製作する部屋です
電気機器実習室,でんきききじっしゅうしつ,1F 電気棟,76,-108,1,電車などに使われているモーターの計測などを行う部屋です
建築棟1階入口,きかいとういっかいいりぐち　きかいとう１かいいりぐち,1F 建築棟,74.6,-86.5,1,
建築施工実習室,けんちくせこうじっしゅうしつ,1F 建築棟,81,-90,1,木造建築の基礎や技能を学ぶ部屋です
軸組実習室,じくぐみじっしゅうしつ,1F 建築棟,81,-82,1,建築に必要な材料の加工を行う部屋です
資材置き場,しざいおきば,1F 建築棟,80.5,-90,1,建築用の資材が置いてある部屋です
接着塗装整形実習室,せっちゃくとそうせいけいじっしゅうしつ,1F 建築棟,79.2,-90,1,木材の接着や塗装、成形を行う部屋です
機械加工実習室,きかいかこうじっしゅうしつ,1F 建築棟,79,82,1,木材加工を行う部屋です
環境計画実習室,かんきょうけいかくじっしゅうしつ,1F 建築棟,78.5,-90,1,建築科が実習の計画を立てる部屋です
機械置き場,きかいおきば,1F 建築棟,77.5,-90,1,建築家が使う機械が保管されている部屋です
木造実習室,もくぞうじっしゅうしつ,1F 建築棟,76,-82,1,木造建築の実習を行う部屋です
材料試験実習室,ざいりょうしけんじっしゅうしつ,1F 建築棟,76,-90,1,木材やコンクリートなどの材料の強度を調べる部屋です
環境棟1階入口,かんきょうとういっかいいりぐち　かんきょうとう1かいいりぐち,1F 環境棟,74.6,-63.5,1,
板金溶接実習室,ばんきんようせつじっしゅうしつ,1F 環境棟,81,-67,1,溶接を行うときに使用します
材料庫,ざいりょうこ,1F 環境棟,81.75,-59,1,実習時に使用する材料が保管されています
計測実習室 (恒温室),けいそくじっしゅうしつ (こうおんしつ),1F 環境棟,81,-59,1,温度計測の実習で使われます
水理実習室,すいりじっしゅうしつ,1F 環境棟,79.5,-67,1,水の流速や流量の測定をし水の流れを学びます
材料試験実習室,ざいりょうしけんじっしゅうしつ,1F 環境棟,80,-59,1,木材やコンクリートなどの材料の強度を調べる部屋です
土木施工実習室,どぼくせこうじっしゅうしつ,1F 環境棟,78,-68,1,建設に使う機械やロードローラーなどがおいてあり、鉄筋組立などの実習でも使われます
組立実習室,くみたてじっしゅうしつ,1F 環境棟,78,-59,1,水道管の組立施工実習で使われます
測量器具室,そくりょうきぐしつ,1F 環境棟,75.5,-67,1,測量の際に使う器具が保管してあります
設備施工実習室,せつびせこうじっしゅうしつ,1F 環境棟,76,-59,1,配管の実習で使われます
ホワイエ,ほわいえ,1F 教室棟,71,-123,1,委員会などの集まりで使われることがあります
大講義室,だいこうぎしつ,1F 教室棟,71,-136,1,委員会の集まりや学年集会、資格試験などで幅広く使われます
購買,こうばい,1F 教室棟,71.8,-118,1,昼休みになると昇降口前に出店されます。たこ焼きとたまごサンドです
管理室,かんりしつ,1F 教室棟,70,-119,1,学校の備品が置いてあります。生徒は基本入れません
講師控室,こうしひかえしつ,1F 教室棟,70,-116,1,お客様の待機所です
101教室,いちぜろいちきょうしつ きかいか A 3ねん 3年 さんねん 機械科A きA 機械A,1F 教室棟 機械科A 3年,71,-108,1,
102教室,いちぜろにきょうしつ きかいか B 3ねん 3年 さんねん 機械科B きB 機械B,1F 教室棟 機械科B 3年,71.0,-102,1,
103教室,いちぜろさんきょうしつ でんしきかいか 3ねん 3年 さんねん 電子機械科,1F 教室棟 電子機械科 3年,71.0,-96,1,
104教室,いちぜろよんきょうしつ でんきか 3ねん 3年 さんねん 電気科,1F 教室棟 電気科 3年,71.0,-90,1,
105教室,いちぜろごきょうしつ でんしじょうほうか 3ねん 3年 さんねん 電子情報科 でんじょう 電情,1F 教室棟 電子情報科 3年,71.0,-84,1,
